_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
2417756,5186997,NA,NA,2019,PRIVATE,12,Toronto-St. Paul's,200 MADISON AVE,6,82,2023-01-31,100,Evaluation needs to be conducted in 3 years,19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,N/A,S1237,43.676442017,-79.406812986,312299.706,4837164.375
2417757,5156142,NA,NA,1889,PRIVATE,13,Toronto Centre,109 PEMBROKE ST,4,20,2023-01-27,67,Evaluation needs to be conducted in 2 years,14,3,4,3,3,2,3,N/A,4,N/A,N/A,3,3,5,3,3,4,N/A,4,N/A,N/A,S1328,43.660120206,-79.3728278301,315041.504,4835359.918
2417758,5118732,2022,NA,2021,PRIVATE,13,Toronto Centre,25 NICHOLAS AVE,29,346,2023-01-27,100,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S1330,NA,NA,316225.666,4835308.898
2417759,5156008,2022,NA,1885,PRIVATE,09,Davenport,267 BROCK AVE,3,11,2023-01-24,73,Evaluation needs to be conducted in 2 years,14,3,3,4,4,N/A,4,N/A,5,5,N/A,3,4,3,2,4,3,N/A,4,N/A,N/A,S0936,43.649450698,-79.435105646,310019.153,4834169.75
2417760,5156127,2022,NA,1972,PRIVATE,13,Toronto Centre,33 WOOD ST,30,240,2023-01-24,93,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,4,4,4,5,5,4,5,5,5,5,4,4,4,5,S1326,43.662341118,-79.381432692,314346.855,4835606.614
2417761,5132414,2022,NA,2018,PRIVATE,11,University-Rosedale,55 GERRARD ST W,43,595,2023-01-24,99,Evaluation needs to be conducted in 3 years,19,5,5,5,4,N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S1145,43.658443735,-79.383996717,314140.697,4835173.342
2417762,5207679,2023,NA,2022,PRIVATE,12,Toronto-St. Paul's,215 LONSDALE RD,20,177,2023-01-23,100,Evaluation needs to be conducted in 3 years,19,5,5,5,5,N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S1231,NA,NA,312559.07,4838724.578
2417763,5175953,2022,NA,2022,PRIVATE,10,Spadina-Fort York,57 SPADINA AVE,36,286,2023-01-20,100,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S1033,43.644956232,-79.394471437,313302.359,4833678.686
2417764,4154229,2017,NA,1968,PRIVATE,07,Humber River-Black Creek,2770 JANE ST,4,144,2023-01-19,85,Evaluation needs to be conducted in 2 years,19,4,4,5,4,4,5,4,4,4,4,5,5,5,4,4,4,4,5,3,N/A,W0729,43.7474006174,-79.5159466744,303500.287,4845048.686
2417765,5156053,2023,NA,2018,PRIVATE,12,Toronto-St. Paul's,109 VAUGHAN RD,9,51,2023-01-19,96,Evaluation needs to be conducted in 3 years,19,5,5,5,5,N/A,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,S1229,43.6841957137,-79.4209646641,311156.469,4838029.782
2417766,5199841,NA,NA,2021,PRIVATE,03,Etobicoke-Lakeshore,5249 DUNDAS ST W,42,333,2023-01-19,99,Evaluation needs to be conducted in 3 years,19,5,5,5,5,N/A,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,W0323,NA,NA,301782.82,4832967.103
2417767,5156112,2022,NA,1958,PRIVATE,12,Toronto-St. Paul's,210 VAUGHAN RD,4,25,2023-01-19,75,Evaluation needs to be conducted in 2 years,15,3,3,5,5,3,4,N/A,4,N/A,N/A,3,3,5,3,4,4,N/A,4,3,N/A,S1229,43.687311357,-79.423463821,310954.409,4838376.712
2417768,5144485,2022,NA,2021,PRIVATE,04,Parkdale-High Park,50 HIGH PARK AVE,25,264,2023-01-18,98,Evaluation needs to be conducted in 3 years,19,5,5,5,3,N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S0428,43.655497932,-79.466564069,307481.141,4834840.141
2417769,5156165,2022,NA,1960,PRIVATE,20,Scarborough Southwest,568 BIRCHMOUNT RD,7,61,2023-01-18,83,Evaluation needs to be conducted in 2 years,19,5,3,5,5,5,3,5,5,5,3,3,3,5,3,5,5,5,3,3,N/A,E2029,43.7127945342,-79.2713034993,323213.731,4841229.257
2417770,5144479,2022,NA,2020,PRIVATE,04,Parkdale-High Park,55 QUEBEC AVE,25,264,2023-01-18,98,Evaluation needs to be conducted in 3 years,19,5,5,5,3,N/A,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,S0428,NA,NA,307442.641,4834735.62
2417771,4155480,2017,NA,1954,PRIVATE,03,Etobicoke-Lakeshore,2309 LAKE SHORE BLVD W,4,28,2022-12-30,70,Evaluation needs to be conducted in 2 years,16,3,3,4,3,3,4,N/A,3,N/A,2,3,4,5,4,3,4,N/A,4,4,N/A,W0336,43.6177159242,-79.4864921975,305843.963,4830639.407
2417772,4155233,2017,NA,1955,PRIVATE,03,Etobicoke-Lakeshore,5 NEWHOLM RD,4,27,2022-12-30,68,Evaluation needs to be conducted in 2 years,17,3,3,5,3,4,4,N/A,4,N/A,3,3,3,4,2,4,3,3,3,4,N/A,W0329,43.6356446898,-79.4874066551,305800.477,4832633.187
2417773,4155476,2017,NA,1960,PRIVATE,03,Etobicoke-Lakeshore,2361 LAKE SHORE BLVD W,4,47,2022-12-30,82,Evaluation needs to be conducted in 2 years,17,4,5,5,4,3,4,N/A,3,5,N/A,4,5,3,4,5,4,4,3,5,N/A,W0336,43.6158682454,-79.4878084713,305768.347,4830436.132
2417774,4155475,2017,NA,1959,PRIVATE,03,Etobicoke-Lakeshore,2369 LAKE SHORE BLVD W,4,87,2022-12-30,74,Evaluation needs to be conducted in 2 years,17,3,3,5,3,4,4,N/A,3,5,N/A,3,4,4,4,3,3,4,3,5,N/A,W0336,43.615736635,-79.4878821357,305762.403,4830421.51
2417775,4155474,2017,NA,1970,PRIVATE,03,Etobicoke-Lakeshore,2377 LAKE SHORE BLVD W,4,23,2022-12-30,72,Evaluation needs to be conducted in 2 years,18,4,3,5,4,4,2,N/A,3,3,3,3,3,5,3,5,3,4,4,4,N/A,W0336,43.6154404667,-79.4878892475,305761.833,4830388.607
2417776,4155488,2017,NA,1955,PRIVATE,03,Etobicoke-Lakeshore,2532 LAKE SHORE BLVD W,4,46,2022-12-30,75,Evaluation needs to be conducted in 2 years,15,5,4,5,3,3,2,N/A,4,N/A,N/A,3,4,4,5,3,4,N/A,4,3,N/A,W0336,43.6109821847,-79.4903809388,305560.767,4829893.29
2417777,4155494,2017,NA,1952,PRIVATE,03,Etobicoke-Lakeshore,2547 LAKE SHORE BLVD W,4,26,2022-12-30,78,Evaluation needs to be conducted in 2 years,16,4,4,4,4,3,3,N/A,4,N/A,4,4,5,5,3,5,3,N/A,4,3,N/A,W0336,43.609303547,-79.4892009672,305656.036,4829706.813
2417778,4155481,2017,NA,1957,PRIVATE,03,Etobicoke-Lakeshore,2303 LAKE SHORE BLVD W,4,38,2022-12-30,96,Evaluation needs to be conducted in 3 years,15,5,4,5,5,5,5,N/A,5,N/A,N/A,5,5,5,5,4,5,N/A,4,5,N/A,W0336,43.6181573986,-79.4862044027,305864.468,4830685.073
2417779,4155473,2017,NA,1959,SOCIAL HOUSING,03,Etobicoke-Lakeshore,110 STANLEY AVE,3,16,2022-12-30,74,Evaluation needs to be conducted in 2 years,16,3,3,4,3,4,2,N/A,5,N/A,N/A,3,4,5,4,4,4,3,4,4,N/A,W0336,43.6151367665,-79.4949740706,305189.979,4830354.824
2417780,4154257,2017,NA,1960,PRIVATE,07,Humber River-Black Creek,3 DAMASK AVE,3,10,2022-12-30,83,Evaluation needs to be conducted in 2 years,15,3,5,5,3,3,5,N/A,4,N/A,N/A,3,5,5,4,5,5,N/A,3,4,N/A,W0728,43.7416935323,-79.5396641026,301589.804,4844415.332
2417781,4155227,2017,NA,1957,PRIVATE,03,Etobicoke-Lakeshore,301 PARK LAWN RD,4,25,2022-12-30,76,Evaluation needs to be conducted in 2 years,18,4,4,5,3,4,5,N/A,4,3,4,3,3,5,4,3,3,5,3,3,N/A,W0329,43.6350512379,-79.4924601948,305392.658,4832567.215
2417782,4156367,2017,NA,1954,PRIVATE,05,York South-Weston,4 GREENBROOK DR,3,23,2022-12-30,79,Evaluation needs to be conducted in 2 years,15,3,5,5,3,4,3,N/A,4,N/A,N/A,4,3,5,4,4,5,N/A,4,3,N/A,W0532,43.697269464,-79.4763543388,306690.437,4839479.496
