age,storeys,score,latitude,longitude,graffiti,cladding,grounds,walkways
4,6,100,43.676442017,-79.406812986,5,5,5,5
134,4,67,43.660120206,-79.3728278301,5,3,3,4
138,3,73,43.649450698,-79.435105646,3,2,4,3
51,30,93,43.662341118,-79.381432692,5,5,5,5
5,43,99,43.658443735,-79.383996717,5,5,5,5
1,36,100,43.644956232,-79.394471437000007,5,5,5,5
5,9,96,43.6841957137,-79.4209646641,1,5,5,5
65,4,75,43.687311357,-79.423463821,5,3,4,4
2,25,98,43.655497932,-79.466564069,5,5,5,5
63,7,83,43.7127945342,-79.2713034993,5,3,5,5
95,3,83,43.6667828801,-79.3769600054,5,4,4,3
95,3,79,43.6667348644,-79.3767474452,4,4,3,3
50,4,81,43.790397172,-79.369820172,4,3,5,4
50,4,81,43.790468768,-79.36951104,4,3,5,4
50,4,85,43.790476393,-79.369185506,5,3,5,4
50,4,82,43.790703691,-79.368721553,4,3,5,4
2,24,99,43.638981358,-79.409542284,5,5,5,5
2,31,99,43.639152469,-79.410262481,5,5,5,5
61,6,88,43.648859107,-79.568021211,5,4,4,4
3,36,88,43.763392611,-79.410156052,5,4,4,4
133,3,68,43.6698858155,-79.4035334052,5,3,4,4
51,51,81,43.6687248258,-79.3882538095,5,4,4,4
63,3,78,43.7389927297,-79.3435489971,5,4,4,4
73,3,80,43.739344531,-79.3421666276,5,4,4,4
73,3,79,43.738740299,-79.3434691076,5,3,4,4
2,16,99,43.6582941155,-79.4007531385,5,5,5,5
83,10,81,43.660295635,-79.383058424,5,4,4,4
6,26,100,43.668109286,-79.390826378,5,5,5,5
4,35,99,43.640120672,-79.422240833,5,5,4,5
58,3,59,43.7090513508,-79.3106659007,4,3,3,2
63,3,57,43.7089282139,-79.3107669279,4,3,3,2
72,3,64,43.7092735859,-79.3104170385,4,3,3,3
65,3,54,43.7093915455,-79.3103269723,3,3,3,3
69,3,51,43.7096518084,-79.3101171407,3,3,2,2
43,3,65,43.7097824646,-79.3100193403,4,3,3,3
5,51,99,43.671146181,-79.376964829,5,5,5,4
69,3,49,43.7091752019,-79.3105723901,3,3,3,2
58,3,64,43.6722063299,-79.2908934269,4,3,4,3
94,4,99,43.6835915113,-79.4007570137,5,5,5,5
4,18,97,43.641956672,-79.400830248,5,5,5,5
73,3,78,43.6117781476,-79.4895548881,5,4,3,3
34,3,76,43.655606154,-79.37473438,5,4,4,4
127,4,71,43.6700017507,-79.4035877513,5,4,3,4
123,3,63,43.6821585882,-79.4220166514,3,3,3,3
95,3,86,43.6691053883,-79.2911282812,5,5,4,4
51,10,66,43.751648415,-79.513392929,5,3,3,2
93,3,74,43.667990229,-79.2933921123,5,3,4,4
94,3,69,43.679681068,-79.433946431,2,3,4,3
4,36,100,43.707942687,-79.39786072,5,5,5,5
4,27,99,43.709314834,-79.399752855,5,5,5,5
67,3,53,43.6850791771,-79.3423568405,4,3,2,2
69,3,85,43.6903808073,-79.3529674197,5,4,4,4
58,9,53,43.6363526451,-79.4380647269,4,3,2,2
66,3,61,43.721282345,-79.44523975,4,3,3,3
7,4,99,43.691279311,-79.286865733,5,5,5,5
68,3,65,43.592625398,-79.528050439,4,4,3,2
68,3,68,43.592594591,-79.52818256,4,4,3,3
68,3,65,43.592573631,-79.528276577,4,4,3,2
70,4,96,43.7207918778,-79.2435210688,5,5,5,4
95,3,79,43.6652962765,-79.378621689,5,3,4,4
20,3,76,43.677246214,-79.320512949,5,3,3,4
92,3,58,43.6385635779,-79.4300912063,4,3,2,2
65,3,65,43.7234871181,-79.2660288594,5,3,3,3
63,3,69,43.639823941,-79.451749578,5,4,3,3
66,3,74,43.72308488,-79.445941428,5,4,3,3
93,3,54,43.655253044,-79.455904958,4,3,3,2
72,3,60,43.6576935815,-79.3718742304,5,2,3,3
98,3,63,43.680349197300004,-79.2863444941,5,3,3,3
98,3,63,43.6803978497,-79.286124564,5,3,3,3
72,3,60,43.7109797077,-79.3082535422,5,3,3,3
70,3,61,43.7119832675,-79.307464316,5,3,3,3
70,3,63,43.7118457801,-79.3075659646,5,3,3,3
70,3,64,43.7117264202,-79.3076717608,5,3,3,3
72,3,58,43.7111330736,-79.3081363101,5,2,3,2
72,3,64,43.7115823084,-79.307772958,5,3,3,3
96,3,56,43.6554189056,-79.39535829,5,2,2,3
68,3,75,43.7419930803,-79.4364254778,5,4,4,4
95,3,63,43.6652814395,-79.3783054982,5,3,3,3
95,3,64,43.6654248364,-79.3783580132,5,3,3,3
110,3,54,43.675063119,-79.4330471349,5,3,2,2
75,3,71,43.6783605408,-79.3950701921,5,4,3,4
100,3,44,43.6593129835,-79.4389019966,2,2,2,2
70,4,77,43.703363564,-79.310527323,5,4,4,5
72,3,67,43.7091921136,-79.3096855497,5,3,4,3
47,29,46,43.656991644,-79.45228586,3,2,2,2
47,29,48,43.657073675,-79.452365262,3,2,2,2
69,4,66,43.639915397,-79.487892324,5,3,3,3
71,4,59,43.636561238,-79.493053522,3,3,3,3
69,6,68,43.6396535446,-79.487507425,5,2,4,4
123,3,53,43.7099483796,-79.4004676856,5,3,2,2
103,4,69,43.664540632,-79.382321075,5,3,3,4
63,3,54,43.652044902,-79.4261489832,4,3,2,3
46,30,71,43.668558227,-79.374829965,3,4,3,3
45,30,73,43.669056443,-79.375027211,5,3,3,3
45,30,76,43.670031447,-79.375487343,3,4,4,4
99,3,53,43.6523616027,-79.426231520300007,3,2,3,3
47,12,81,43.780692143,-79.203193428,5,4,4,2
74,3,66,43.7430477683,-79.4377021661,5,4,3,3
74,3,64,43.742014423,-79.4373039157,5,4,3,3
74,3,66,43.7428477034,-79.4376504263,5,4,3,3
74,3,66,43.7426311682,-79.437605185,5,4,3,3
74,3,67,43.7424665293,-79.4377968737,5,4,3,3
74,3,67,43.7422758604,-79.4377256456,5,4,3,3
74,3,65,43.7422145294,-79.437433562,5,3,3,3
69,3,60,43.6873957416,-79.2836217678,4,3,3,3
72,3,63,43.711282299,-79.3080213624,3,3,3,3
72,3,72,43.7114376749,-79.3078956606,5,4,4,3
48,23,64,43.6823113813,-79.418488924,5,3,3,4
72,3,64,43.7089625626,-79.3097891975,5,3,4,3
